,n_autovalores,criterio,tiempo
0,1.0,iteration,0.000891382
1,1.0,vector_delta,8.3566e-05
2,1.0,eigen_value,9.4738e-05
3,1.0,iteration,0.000826489
4,1.0,vector_delta,8.3798e-05
5,1.0,eigen_value,0.000321724
6,1.0,iteration,0.000878156
7,1.0,vector_delta,9.4608e-05
8,1.0,eigen_value,0.000118111
9,1.0,iteration,0.000716484
10,1.0,vector_delta,6.3379e-05
11,1.0,eigen_value,7.5692e-05
12,1.0,iteration,0.0008745
13,1.0,vector_delta,0.00015973
14,1.0,eigen_value,0.000117039
15,1.0,iteration,0.000821461
16,1.0,vector_delta,7.2045e-05
17,1.0,eigen_value,9.6621e-05
18,1.0,iteration,0.000842971
19,1.0,vector_delta,0.000118892
20,1.0,eigen_value,0.000124323
21,1.0,iteration,0.000858229
22,1.0,vector_delta,0.000108774
23,1.0,eigen_value,0.000150322
24,1.0,iteration,0.00089554
25,1.0,vector_delta,6.1546e-05
26,1.0,eigen_value,6.9451e-05
27,1.0,iteration,0.000586941
28,1.0,vector_delta,5.361e-05
29,1.0,eigen_value,6.971e-05
30,1.0,iteration,0.000583875
31,1.0,vector_delta,5.3411e-05
32,1.0,eigen_value,7.0392e-05
33,1.0,iteration,0.000575299
34,1.0,vector_delta,5.6426e-05
35,1.0,eigen_value,7.1284e-05
36,1.0,iteration,0.000572924
37,1.0,vector_delta,5.3048e-05
38,1.0,eigen_value,6.8368e-05
39,1.0,iteration,0.000576832
40,1.0,vector_delta,5.2988e-05
41,1.0,eigen_value,6.8149e-05
42,1.0,iteration,0.000572443
43,1.0,vector_delta,5.318e-05
44,1.0,eigen_value,6.8017e-05
45,1.0,iteration,0.00056473
46,1.0,vector_delta,5.2149e-05
47,1.0,eigen_value,6.7136e-05
48,1.0,iteration,0.000568055
49,1.0,vector_delta,5.2438e-05
50,1.0,eigen_value,6.6474e-05
51,1.0,iteration,0.000546034
52,1.0,vector_delta,5.0615e-05
53,1.0,eigen_value,6.5163e-05
54,1.0,iteration,0.00054362
55,1.0,vector_delta,4.9814e-05
56,1.0,eigen_value,6.3949e-05
57,1.0,iteration,0.000534893
58,1.0,vector_delta,4.9663e-05
59,1.0,eigen_value,6.3359e-05
60,1.0,iteration,0.000534032
61,1.0,vector_delta,4.9282e-05
62,1.0,eigen_value,6.406e-05
63,1.0,iteration,0.00053298
64,1.0,vector_delta,5.1176e-05
65,1.0,eigen_value,6.4511e-05
66,1.0,iteration,0.000542437
67,1.0,vector_delta,5.0244e-05
68,1.0,eigen_value,6.7546e-05
69,1.0,iteration,0.000535645
70,1.0,vector_delta,4.9553e-05
71,1.0,eigen_value,6.2628e-05
72,1.0,iteration,0.000539812
73,1.0,vector_delta,5.1456e-05
74,1.0,eigen_value,6.378e-05
75,1.0,iteration,0.000628779
76,1.0,vector_delta,5.1547e-05
77,1.0,eigen_value,6.4792e-05
78,1.0,iteration,0.000535855
79,1.0,vector_delta,5.1636e-05
80,1.0,eigen_value,6.5533e-05
81,1.0,iteration,0.000541035
82,1.0,vector_delta,5.1095e-05
83,1.0,eigen_value,6.5603e-05
84,1.0,iteration,0.000529263
85,1.0,vector_delta,5.2628e-05
86,1.0,eigen_value,6.5463e-05
87,1.0,iteration,0.000526748
88,1.0,vector_delta,5.0946e-05
89,1.0,eigen_value,6.4391e-05
90,2.0,iteration,0.000808246
91,2.0,vector_delta,5.8149e-05
92,2.0,eigen_value,9.8123e-05
93,2.0,iteration,0.00081525
94,2.0,vector_delta,5.8309e-05
95,2.0,eigen_value,0.000176551
96,2.0,iteration,0.000810441
97,2.0,vector_delta,5.851e-05
98,2.0,eigen_value,0.000140744
99,2.0,iteration,0.000805992
100,2.0,vector_delta,6.3069e-05
101,2.0,eigen_value,0.000108815
102,2.0,iteration,0.000812664
103,2.0,vector_delta,5.9662e-05
104,2.0,eigen_value,0.0001229
105,2.0,iteration,0.000841809
